ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original index term
		Echoencephalography		I									FALSE	FALSE										Echoencephalography
		Intracranial ultrasound		I									FALSE	FALSE										Intracranial ultrasound
		Transcranial ultrasound		I									FALSE	FALSE										Transcranial ultrasound
AAA.DL.AA	Insertion of device into cranial cavity or tissue							Convection enhanced delivery; Insertion of brachytherapy applicator; Insertion of catheter into cranial cavity or tissue; Placement of intracerebral catheter via burr hole					FALSE	FALSE									Insertion of device into cranial cavity or tissue	
		Convection enhanced delivery of catheter into brain		I									FALSE	FALSE										Convection enhanced delivery
		Insertion of brachytherapy applicator		I									FALSE	FALSE										Insertion of brachytherapy applicator
		Insertion of catheter into cranial cavity or tissue		I									FALSE	FALSE										Insertion of catheter into cranial cavity or tissue
		Placement of intracerebral catheter via burr hole		I									FALSE	FALSE										Placement of intracerebral catheter via burr hole
AAA.DL.AE	Percutaneous insertion of device into cranial cavity or tissue							Percutaneous insertion of brachytherapy applicator; Percutaneous insertion of brachytherapy applicator via stereotatic method					FALSE	FALSE									Percutaneous insertion of device into cranial cavity or tissue	
		Percutaneous insertion of brachytherapy applicator		I									FALSE	FALSE										Percutaneous insertion of brachytherapy applicator
		Percutaneous insertion of brachytherapy applicator via stereotatic method		I									FALSE	FALSE										Percutaneous insertion of brachytherapy applicator via stereotatic method
AAA.DN.AA	Implantation of cranial device							Implantation of electroencephalographic receiver; Implantation of foramen ovale electrodes; Implantation of intracranial depth electrodes; Implantation of intracranial epidural pegs; Implantation of intracranial electrostimulator; Implantation of subdural grids; Implantation of subdural strips; Implantation of electrodes for deep brain stimulation					FALSE	FALSE									Implantation of cranial device	
		Implantation of electroencephalographic receiver		I									FALSE	FALSE										Implantation of electroencephalographic receiver
		Implantation of foramen ovale electrodes		I									FALSE	FALSE										Implantation of foramen ovale electrodes
		Implantation of intracranial depth electrodes		I									FALSE	FALSE										Implantation of intracranial depth electrodes
		Implantation of intracranial epidural pegs		I									FALSE	FALSE										Implantation of intracranial epidural pegs
		Implantation of intracranial electrostimulator		I									FALSE	FALSE										Implantation of intracranial electrostimulator
		Implantation of subdural grids		I									FALSE	FALSE										Implantation of subdural grids
		Implantation of subdural strips		I									FALSE	FALSE										Implantation of subdural strips
		Implantation of electrodes for deep brain stimulation		I									FALSE	FALSE										Implantation of electrodes for deep brain stimulation
AAA.DN.AE	Percutaneous implantation of cranial device							Percutaneous implantation of electrodes for deep brain stimulation; Percutaneous implantation of electroencephalographic receiver; Percutaneous implantation of foramen ovale electrodes; Percutaneous implantation of intracranial depth electrodes; Percutaneous implantation of intracranial epidural pegs; Percutaneous implantation of intracranial electrostimulator; Percutaneous implantation of sphenoidal electrodes; Percutaneous implantation of subdural grids; Percutaneous implantation of subdural strips					FALSE	FALSE									Percutaneous implantation of cranial device	
		Percutaneous implantation of electrodes for deep brain stimulation		I									FALSE	FALSE										Percutaneous implantation of electrodes for deep brain stimulation
		Percutaneous implantation of electroencephalographic receiver		I									FALSE	FALSE										Percutaneous implantation of electroencephalographic receiver
		Percutaneous implantation of foramen ovale electrodes		I									FALSE	FALSE										Percutaneous implantation of foramen ovale electrodes
		Percutaneous implantation of intracranial depth electrodes		I									FALSE	FALSE										Percutaneous implantation of intracranial depth electrodes
		Percutaneous implantation of intracranial epidural pegs		I									FALSE	FALSE										Percutaneous implantation of intracranial epidural pegs
		Percutaneous implantation of intracranial electrostimulator		I									FALSE	FALSE										Percutaneous implantation of intracranial electrostimulator
		Percutaneous implantation of sphenoidal electrodes		I									FALSE	FALSE										Percutaneous implantation of sphenoidal electrodes
		Percutaneous implantation of subdural grids		I									FALSE	FALSE										Percutaneous implantation of subdural grids
		Percutaneous implantation of subdural strips		I									FALSE	FALSE										Percutaneous implantation of subdural strips
AAA.FA.AA	Incision of brain							Lobotomy and tractotomy; Other incision of brain, NOS; Pallidotomy; Thalamotomy					FALSE	FALSE									Incision of brain	
		Lobotomy and tractotomy		I									FALSE	FALSE										Lobotomy and tractotomy
		Other incision of brain, NOS		D									TRUE	FALSE										Other incision of brain, NOS
		Pallidotomy		I									FALSE	FALSE										Pallidotomy
		Thalamotomy		I									FALSE	FALSE										Thalamotomy
AAA.FA.AE	Percutaneous incision of brain							Percutaneous cingulotomy; Percutaneous cingulotomy via radiofrequency					FALSE	FALSE									Percutaneous incision of brain	
		Percutaneous cingulotomy		I									FALSE	FALSE										Percutaneous cingulotomy
		Percutaneous cingulotomy via radiofrequency		I									FALSE	FALSE										Percutaneous cingulotomy via radiofrequency
AAA.FB.AA	Division of brain tissue							Division of cerebral tracts; Division of cerebral tracts via stereotactic localisation					FALSE	FALSE									Division of brain tissue	
		Division of cerebral tracts		I									FALSE	FALSE										Division of cerebral tracts
		Division of cerebral tracts via stereotactic localisation		I									FALSE	FALSE										Division of cerebral tracts via stereotactic localisation
AAA.GA.AA	Destruction of lesion or tissue of brain							Cauterisation of choroid plexus					FALSE	FALSE									Destruction of lesion or tissue of brain	
		Cauterisation of choroid plexus		I									FALSE	FALSE										Cauterisation of choroid plexus
AAA.GA.AE	Percutaneous destruction of lesion or tissue of brain							Percutaneous coagulation of choroid plexus; Percutaneous destruction of choroid plexus					FALSE	FALSE									Percutaneous destruction of lesion or tissue of brain	
		Percutaneous coagulation of choroid plexus		I									FALSE	FALSE										Percutaneous coagulation of choroid plexus
		Percutaneous destruction of choroid plexus		I									FALSE	FALSE										Percutaneous destruction of choroid plexus
AAA.GA.AH	Laser interstitial thermal therapy of lesion or tissue of brain							f-LITT of lesion or tissue of brain; Focused-Laser Interstitial Thermal Therapy of lesion or tissue of brain; Focused laser interstitial thermal therapy under MRI guidance of lesion or tissue of brain; MRI-guided LITT of lesion or tissue of brain; Laser interstitial thermal therapy of lesion or tissue of brain via image guidance					FALSE	FALSE									Laser interstitial thermal therapy of lesion or tissue of brain	
		f-LITT of lesion or tissue of brain		I									FALSE	FALSE										f-LITT of lesion or tissue of brain
		Focused-laser interstitial thermal therapy of lesion or tissue of brain		I									FALSE	FALSE										Focused-Laser Interstitial Thermal Therapy of lesion or tissue of brain
		Focused laser interstitial thermal therapy under MRI guidance of lesion or tissue of brain		I									FALSE	FALSE										Focused laser interstitial thermal therapy under MRI guidance of lesion or tissue of brain
		MRI-guided LITT of lesion or tissue of brain		I									FALSE	FALSE										MRI-guided LITT of lesion or tissue of brain
		Laser interstitial thermal therapy of lesion or tissue of brain via image guidance		I									FALSE	FALSE										Laser interstitial thermal therapy of lesion or tissue of brain via image guidance
AAA.GA.BA	Destruction of lesion or tissue of brain by radiotherapy							Brachytherapy of lesion or tissue of brain; Radiation therapy of brain; Stereotactic radiosurgery of brain					FALSE	FALSE									Destruction of lesion or tissue of brain by radiotherapy	
		Brachytherapy of lesion or tissue of brain		I									FALSE	FALSE										Brachytherapy of lesion or tissue of brain
		Radiation therapy of brain		I									FALSE	FALSE										Radiation therapy of brain
		Stereotactic radiosurgery of brain		I									FALSE	FALSE										Stereotactic radiosurgery of brain
AAA.JB.AA	Drainage of brain							Drainage of intracerebral haematoma; Intracranial drainage; Marsupialisation of brain cyst; Drainage of brain via burr hole; Drainage of brain via craniotomy					FALSE	FALSE									Drainage of brain	
		Drainage of intracerebral haematoma		I									FALSE	FALSE										Drainage of intracerebral haematoma
		Intracranial drainage		I									FALSE	FALSE										Intracranial drainage
		Marsupialisation of brain cyst		I									FALSE	FALSE										Marsupialisation of brain cyst
		Drainage of brain via burr hole		I									FALSE	FALSE										Drainage of brain via burr hole
		Drainage of brain via craniotomy		I									FALSE	FALSE										Drainage of brain via craniotomy
AAA.JD.AA	Removal of internal device or foreign body from brain							Removal of catheter from cranial cavity or tissue; Removal of electrodes for deep brain stimulation; Removal of electroencephalographic receiver; Removal of foramen ovale electrodes; Removal of intracranial depth electrodes; Removal of intracranial electrostimulator; Removal of intracranial epidural pegs; Removal of subdural grids; Removal of subdural strips				T?	FALSE	FALSE									Removal of foreign body or device from brain	
		Removal of catheter from cranial cavity or tissue		I									FALSE	FALSE										Removal of catheter from cranial cavity or tissue
		Removal of electrodes for deep brain stimulation		I									FALSE	FALSE										Removal of electrodes for deep brain stimulation
		Removal of electroencephalographic receiver		I									FALSE	FALSE										Removal of electroencephalographic receiver
		Removal of foramen ovale electrodes		I									FALSE	FALSE										Removal of foramen ovale electrodes
		Removal of intracranial depth electrodes		I									FALSE	FALSE										Removal of intracranial depth electrodes
		Removal of intracranial electrostimulator		I									FALSE	FALSE										Removal of intracranial electrostimulator
		Removal of intracranial epidural pegs		I									FALSE	FALSE										Removal of intracranial epidural pegs
		Removal of subdural grids		I									FALSE	FALSE										Removal of subdural grids
		Removal of subdural strips		I									FALSE	FALSE										Removal of subdural strips
AAA.JD.AE	Percutaneous removal of internal device or foreign body from brain							Percutaneous removal of electrodes for deep brain stimulation; Percutaneous removal of electroencephalographic receiver; Percutaneous removal of foramen ovale electrodes; Percutaneous removal of intracranial depth electrodes; Percutaneous removal of intracranial epidural pegs; Percutaneous removal of intracranial electrostimulator; Percutaneous removal of sphenoidal electrodes; Percutaneous removal of subdural grids; Percutaneous removal of subdural strips				T?	FALSE	FALSE									Percutaneous removal of foreign body or device from brain	
		Percutaneous removal of electrodes for deep brain stimulation		I									FALSE	FALSE										Percutaneous removal of electrodes for deep brain stimulation
		Percutaneous removal of electroencephalographic receiver		I									FALSE	FALSE										Percutaneous removal of electroencephalographic receiver
		Percutaneous removal of foramen ovale electrodes		I									FALSE	FALSE										Percutaneous removal of foramen ovale electrodes
		Percutaneous removal of intracranial depth electrodes		I									FALSE	FALSE										Percutaneous removal of intracranial depth electrodes
		Percutaneous removal of intracranial epidural pegs		I									FALSE	FALSE										Percutaneous removal of intracranial epidural pegs
		Percutaneous removal of intracranial electrostimulator		I									FALSE	FALSE										Percutaneous removal of intracranial electrostimulator
		Percutaneous removal of sphenoidal electrodes		I									FALSE	FALSE										Percutaneous removal of sphenoidal electrodes
		Percutaneous removal of subdural grids		I									FALSE	FALSE										Percutaneous removal of subdural grids
		Percutaneous removal of subdural strips		I									FALSE	FALSE										Percutaneous removal of subdural strips
AAA.JI.AA	Local excision of lesion of brain							Excision of tissue of brain					FALSE	FALSE									Local excision of lesion of brain	
		Excision of tissue of brain		I									FALSE	FALSE										Excision of tissue of brain
AAA.JJ.AA	Partial excision of brain							Chemothalamectomy; Curettage of brain; Hemispherectomy; Lobectomy of brain; Pallidoansectomy					FALSE	FALSE									Partial excision of brain	
		Chemothalamectomy		I									FALSE	FALSE										Chemothalamectomy
		Curettage of brain		I									FALSE	FALSE										Curettage of brain
		Hemispherectomy		I									FALSE	FALSE										Hemispherectomy
		Lobectomy of brain		I									FALSE	FALSE										Lobectomy of brain
		Pallidoansectomy		I									FALSE	FALSE										Pallidoansectomy
AAA.JJ.AE	Percutaneous partial excision of brain							Percutaneous transtemporal partial excision of brain					FALSE	FALSE									Percutaneous partial excision of brain	
		Percutaneous transtemporal partial excision of brain		I									FALSE	FALSE										Percutaneous transtemporal partial excision of brain
AAA.KA.AA	Replacement of intracranial device							Replacement of intracranial depth electrodes; Replacement of intracranial electroencephalographic receiver; Replacement of intracranial electrostimulator; Replacement of intracranial epidural pegs; Replacement of intracranial foramen ovale electrodes; Replacement of subdural grids; Replacement of subdural strips					FALSE	FALSE									Replacement of intracranial device	
		Replacement of intracranial depth electrodes		I									FALSE	FALSE										Replacement of intracranial depth electrodes
		Replacement of intracranial electroencephalographic receiver		I									FALSE	FALSE										Replacement of intracranial electroencephalographic receiver
		Replacement of intracranial electrostimulator		I									FALSE	FALSE										Replacement of intracranial electrostimulator
		Replacement of intracranial epidural pegs		I									FALSE	FALSE										Replacement of intracranial epidural pegs
		Replacement of intracranial foramen ovale electrodes		I									FALSE	FALSE										Replacement of intracranial foramen ovale electrodes
		Replacement of subdural grids		I									FALSE	FALSE										Replacement of subdural grids
		Replacement of subdural strips		I									FALSE	FALSE										Replacement of subdural strips
AAA.MK.AA	Repair of encephalocele of brain							Closure of encephalocele of brain; Repair of brain, NOS					FALSE	FALSE									Repair of encephalocele of brain	
		Closure of encephalocele of brain		I									FALSE	FALSE										Closure of encephalocele of brain
		Repair of brain, NOS		I									FALSE	FALSE										Repair of brain, NOS
AAA.SC.BO	Transcranial magnetic stimulation							Stimulation of the brain; TMS					FALSE	FALSE									Transcranial magnetic stimulation	
		Stimulation of the brain		I									FALSE	FALSE										Stimulation of the brain
		TMS		S									FALSE	FALSE										TMS
AAA.SC.BP	Stimulation of the brain using electric fields							Deep brain stimulation; ECT; Electroconvulsive therapy; tACS; tDCS; Transcranial alternating current stimulation; Transcranial direct current stimulation					FALSE	FALSE									Stimulation of the brain using electric fields	
		Deep brain stimulation		I									FALSE	FALSE										Deep brain stimulation
		ECT		I									FALSE	FALSE										ECT
		Electroconvulsive therapy		I									FALSE	FALSE										Electroconvulsive therapy
		tACS		I									FALSE	FALSE										tACS
		tDCS		I									FALSE	FALSE										tDCS
		Transcranial alternating current stimulation		I									FALSE	FALSE										Transcranial alternating current stimulation
		Transcranial direct current stimulation		I									FALSE	FALSE										Transcranial direct current stimulation
AAC.AD.AA	Biopsy of cerebral meninges							Biopsy of cerebral meninges via burr hole; Biopsy of cerebral meninges via osteoplastic craniotomy; Biopsy of cerebral meninges with osteoplastic flap					FALSE	FALSE									Biopsy of cerebral meninges	
		Biopsy of cerebral meninges via burr hole		I									FALSE	FALSE										Biopsy of cerebral meninges via burr hole
		Biopsy of cerebral meninges via osteoplastic craniotomy		I									FALSE	FALSE										Biopsy of cerebral meninges via osteoplastic craniotomy
		Biopsy of cerebral meninges with osteoplastic flap		I									FALSE	FALSE										Biopsy of cerebral meninges with osteoplastic flap
AAC.AD.AE	Percutaneous biopsy of cerebral meninges							Biopsy of cerebral meninges via neuroendoscopy; Percutaneous needle biopsy of cerebral meninges					FALSE	FALSE									Percutaneous biopsy of cerebral meninges	
		Biopsy of cerebral meninges via neuroendoscopy		I									FALSE	FALSE										Biopsy of cerebral meninges via neuroendoscopy
		Percutaneous needle biopsy of cerebral meninges		I									FALSE	FALSE										Percutaneous needle biopsy of cerebral meninges
AAC.FC.AA	Release of cortical adhesions							Cortical adhesiolysis; Lysis of cortical adhesions					FALSE	FALSE									Release of cortical adhesions	
		Cortical adhesiolysis		I									FALSE	FALSE										Cortical adhesiolysis
		Lysis of cortical adhesions		I									FALSE	FALSE										Lysis of cortical adhesions
AAC.JB.AA	Drainage of cerebral meninges							Evacuation of abscess or haematoma of meninges of brain					FALSE	FALSE									Drainage of cerebral meninges	
		Evacuation of abscess or haematoma of meninges of brain		I									FALSE	FALSE										Evacuation of abscess or haematoma of meninges of brain
AAC.JJ.AA	Partial excision of cerebral meninges							Decortication of cerebral meninges; Resection of cerebral meninges; Stripping of subdural membrane of cerebral meninges					FALSE	FALSE									Partial excision of cerebral meninges	
		Decortication of cerebral meninges		I									FALSE	FALSE										Decortication of cerebral meninges
		Resection of cerebral meninges		I									FALSE	FALSE										Resection of cerebral meninges
		Stripping of subdural membrane of cerebral meninges		I									FALSE	FALSE										Stripping of subdural membrane of cerebral meninges
AAC.MK.AA	Repair of cerebral meninges							Closure of fistula of cerebrospinal fluid; Delayed repair of dura; Simple suture of dura mater of brain					FALSE	FALSE									Repair of cerebral meninges	
		Closure of fistula of cerebrospinal fluid		I									FALSE	FALSE										Closure of fistula of cerebrospinal fluid
		Delayed repair of dura		I									FALSE	FALSE										Delayed repair of dura
		Simple suture of dura mater of brain		I									FALSE	FALSE										Simple suture of dura mater of brain
AAC.ML.AA	Repair of cerebral meninges with cranioplasty							Delayed repair of dura with cranioplasty; Dural fat graft; Repair of encephalocele including synchronous cranioplasty; Subdural patch					FALSE	FALSE									Repair of cerebral meninges with cranioplasty	
		Delayed repair of dura with cranioplasty		I									FALSE	FALSE										Delayed repair of dura with cranioplasty
		Dural fat graft		I									FALSE	FALSE										Dural fat graft
		Repair of encephalocele including synchronous cranioplasty		I									FALSE	FALSE										Repair of encephalocele including synchronous cranioplasty
		Subdural patch		I									FALSE	FALSE										Subdural patch
AAE.AD.AB	Closed biopsy of ventricles of brain							Biopsy choroid plexus via ventriculoscopy; Biopsy of ventricles of brain via neurendoscopy; Biopsy of ventricles of brain via ventriculoscopy					FALSE	FALSE									Closed biopsy of ventricles of brain	
		Biopsy choroid plexus via ventriculoscopy		I									FALSE	FALSE										Biopsy choroid plexus via ventriculoscopy
		Biopsy of ventricles of brain via neurendoscopy		I									FALSE	FALSE										Biopsy of ventricles of brain via neurendoscopy
		Biopsy of ventricles of brain via ventriculoscopy		I									FALSE	FALSE										Biopsy of ventricles of brain via ventriculoscopy
AAE.AH.AE	Specimen collection from ventricles							Puncture of ventricular shunt tubing; Ventriculopuncture through previously implanted catheter					FALSE	FALSE									Specimen collection from ventricles	
		Puncture of ventricular shunt tubing		I									FALSE	FALSE										Puncture of ventricular shunt tubing
		Ventriculopuncture through previously implanted catheter		I									FALSE	FALSE										Ventriculopuncture through previously implanted catheter
AAE.DN.AA	Implantation of internal device into ventricles of brain							Implantation of catheter into ventricles of brain; Implantation of Ommaya reservoir; Implantation of pressure measuring or monitoring device, intracranial NOS; Implantation of pressure measuring or monitoring device, ventricles of brain; Implantation of Rickham reservoir				T?	FALSE	FALSE									Implantation of internal device, ventricles of brain	
		Implantation of catheter into ventricles of brain		I									FALSE	FALSE										Implantation of catheter into ventricles of brain
		Implantation of Ommaya reservoir		I									FALSE	FALSE										Implantation of Ommaya reservoir
		Implantation of pressure measuring or monitoring device, intracranial NOS		I									FALSE	FALSE										Implantation of pressure measuring or monitoring device, intracranial NOS
		Implantation of pressure measuring or monitoring device, ventricles of brain		I									FALSE	FALSE										Implantation of pressure measuring or monitoring device, ventricles of brain
		Implantation of Rickham reservoir		I									FALSE	FALSE										Implantation of Rickham reservoir
AAE.JD.AA	Removal of internal device or foreign body from ventricles of brain							Removal of catheter from ventricles of brain; Removal of ventricular drain; Removal of intracranial pressure measuring or monitoring device, NOS; Removal of pressure measuring or monitoring device from ventricles of brain; Removal of shunt catheter system from ventricles of brain; Removal of stent from ventricles of brain				T?	FALSE	FALSE									Removal of foreign body from ventricles of brain	
		Removal of catheter from ventricles of brain		I									FALSE	FALSE										Removal of catheter from ventricles of brain
		Removal of ventricular drain		I									FALSE	FALSE										Removal of ventricular drain
		Removal of intracranial pressure measuring or monitoring device, NOS		I									FALSE	FALSE										Removal of intracranial pressure measuring or monitoring device, NOS
		Removal of pressure measuring or monitoring device from ventricles of brain		I									FALSE	FALSE										Removal of pressure measuring or monitoring device from ventricles of brain
		Removal of shunt catheter system from ventricles of brain		I									FALSE	FALSE										Removal of shunt catheter system from ventricles of brain
		Removal of stent from ventricles of brain		I									FALSE	FALSE										Removal of stent from ventricles of brain
AAE.JD.AH	External removal of foreign body or internal device from ventricles of brain							External removal of drain from ventricles of brain				T?	FALSE	FALSE									External removal of device from ventricles of brain	
		External removal of drain from ventricles of brain		I									FALSE	FALSE										External removal of drain from ventricles of brain
AAE.JJ.AA	Partial excision of ventricles of brain							Cauterisation of choroid plexus; Choroid plexectomy					FALSE	FALSE									Partial excision of ventricles of brain	
		Cauterisation of choroid plexus		I									FALSE	FALSE										Cauterisation of choroid plexus
		Choroid plexectomy		I									FALSE	FALSE										Choroid plexectomy
AAE.KA.AA	Replacement of ventricular shunt							Reinsertion of Holter valve; Replacement of ventricular catheter; Revision of ventriculoperitoneal shunt at ventricular site					FALSE	FALSE									Replacement of ventricular shunt	
		Reinsertion of Holter valve		I									FALSE	FALSE										Reinsertion of Holter valve
		Replacement of ventricular catheter		I									FALSE	FALSE										Replacement of ventricular catheter
		Revision of ventriculoperitoneal shunt at ventricular site		I									FALSE	FALSE										Revision of ventriculoperitoneal shunt at ventricular site
AAE.LH.AA	Dilatation of ventricles of brain with insertion of device							Dilation of ventricles of brain with insertion of device; Insertion of stent into aqueduct of Sylvius for dilation and drainage					FALSE	FALSE									Dilatation of ventricles of brain with insertion of device	
		Dilation of ventricles of brain with insertion of device		S									FALSE	FALSE										Dilation of ventricles of brain with insertion of device
		Insertion of stent into aqueduct of Sylvius for dilation and drainage		I									FALSE	FALSE										Insertion of stent into aqueduct of Sylvius for dilation and drainage
AAE.LI.AA	Ventricular shunt							Anastomosis of ventricle to cisterna magna; Insertion of Holter valve; Ventricle to bone marrow shunt; Ventricle to nasopharynx shunt; Ventricle to ureter shunt; Insertion ventricular shunt to abdominal cavity and organs; Insertion ventricular shunt to circulatory system; Insertion ventricular shunt to extracranial site; Insertion ventricular shunt to peritoneum; Insertion ventricular shunt to structure in head and neck; Insertion ventricular shunt to thoracic cavity; Insertion ventricular shunt to urinary system; Third ventriculostomy; Ventriculoatrial anastomosis; Ventriculocaval shunt; Ventriculocholecystostomy; Ventriculocisternal intubation; Ventriculomastoid anastomosis; Ventriculoperitoneostomy; Ventriculopleural anastomosis; Ventriculostomy					FALSE	FALSE									Ventricular shunt	
		Anastomosis of ventricle to cisterna magna		I									FALSE	FALSE										Anastomosis of ventricle to cisterna magna
		Insertion of Holter valve		I									FALSE	FALSE										Insertion of Holter valve
		Ventricle to bone marrow shunt		I									FALSE	FALSE										Ventricle to bone marrow shunt
		Ventricle to nasopharynx shunt		I									FALSE	FALSE										Ventricle to nasopharynx shunt
		Ventricle to ureter shunt		I									FALSE	FALSE										Ventricle to ureter shunt
		Insertion ventricular shunt to abdominal cavity and organs		I									FALSE	FALSE										Insertion ventricular shunt to abdominal cavity and organs
		Insertion ventricular shunt to circulatory system		I									FALSE	FALSE										Insertion ventricular shunt to circulatory system
		Insertion ventricular shunt to extracranial site		I									FALSE	FALSE										Insertion ventricular shunt to extracranial site
		Insertion ventricular shunt to peritoneum		I									FALSE	FALSE										Insertion ventricular shunt to peritoneum
		Insertion ventricular shunt to structure in head and neck		I									FALSE	FALSE										Insertion ventricular shunt to structure in head and neck
		Insertion ventricular shunt to thoracic cavity		I									FALSE	FALSE										Insertion ventricular shunt to thoracic cavity
		Insertion ventricular shunt to urinary system		I									FALSE	FALSE										Insertion ventricular shunt to urinary system
		Third ventriculostomy		I									FALSE	FALSE										Third ventriculostomy
		Ventriculoatrial anastomosis		I									FALSE	FALSE										Ventriculoatrial anastomosis
		Ventriculocaval shunt		I									FALSE	FALSE										Ventriculocaval shunt
		Ventriculocholecystostomy		I									FALSE	FALSE										Ventriculocholecystostomy
		Ventriculocisternal intubation		I									FALSE	FALSE										Ventriculocisternal intubation
