ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Action flag comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original Expanded index with include note
			microsurgical repair	I	Neurorrhaphy of cranial nerve with microsurgical repair								FALSE	FALSE										Neurorrhaphy of cranial nerve - microsurgical repair
		Repair of laceration of cranial nerve		I									FALSE	FALSE										
			microsurgical repair	I	Repair of laceration of cranial nerve with microsurgical repair	Repeated words: [Repair]							FALSE	FALSE										Repair of laceration of cranial nerve - microsurgical repair
		Suture of cranial nerves		I									FALSE	FALSE										
			microsurgical repair	I	Suture of cranial nerves with microsurgical repair								FALSE	FALSE										Suture of cranial nerves - microsurgical repair
ABA.FA.AA	Cordotomy							Cordotomy NOS; Myelotomy; Spinal tractotomy; Tractotomy (one-stage) (two-stage) of spinal cord; Transection of spinal cord tracts	laminectomy				FALSE	FALSE									Cordotomy	
			laminectomy	I	Cordotomy with laminectomy								FALSE	FALSE										Cordotomy via laminectomy
		Cordotomy NOS		S									FALSE	FALSE										
			laminectomy	I	Cordotomy with laminectomy, NOS								FALSE	FALSE										Cordotomy via laminectomy, NOS
		Myelotomy		I									FALSE	FALSE										
			laminectomy	I	Myelotomy with laminectomy								FALSE	FALSE										Myelotomy via laminectomy
		Spinal tractotomy		I									FALSE	FALSE										
			laminectomy	I	Spinal tractotomy with laminectomy								FALSE	FALSE										Spinal tractotomy via laminectomy
		Tractotomy (one-stage) (two-stage) of spinal cord		R			Need to remove round brackets and create separate index terms i.e. Tractotomy of spinal cord stage one and Tractotomy of spinal cord stage two					R?(WC)	FALSE	TRUE										
			laminectomy	R	Tractotomy (one-stage) (two-stage) of spinal cord with laminectomy	Repeated words: [stage]	As above but add 'with laminectomy' to the the index terms					R?(WC)	FALSE	TRUE										Tractotomy (one-stage) (two-stage) of spinal cord via laminectomy
		Transection of spinal cord tracts		I									FALSE	FALSE										
			laminectomy	I	Transection of spinal cord tracts with laminectomy								FALSE	FALSE										Transection of spinal cord tracts via laminectomy
ABA.MK.AA	Repair of spinal cord							Closure of myelomeningocele; Repair interventions on spinal cord structures NOS; Repair of diastematomyelia; Repair of spinal cord NOS; Repair of spinal meningocele; Repair of spinal myelomeningocele	skin flap; Z-plasty				FALSE	FALSE									Repair of spinal cord	
			skin flap	I	Repair of spinal cord with skin flap								FALSE	FALSE										Repair of spinal cord via skin flap
			Z-plasty	I	Repair of spinal cord with Z-plasty								FALSE	FALSE										Repair of spinal cord via Z-plasty
		Closure of myelomeningocele		I									FALSE	FALSE										
			skin flap	I	Closure of myelomeningocele with skin flap								FALSE	FALSE										Closure of myelomeningocele via skin flap
			Z-plasty	I	Closure of myelomeningocele with Z-plasty								FALSE	FALSE										Closure of myelomeningocele via Z-plasty
		Repair interventions on spinal cord structures NOS		I									FALSE	FALSE										
			skin flap	I	Repair interventions on spinal cord structures with skin flap, NOS								FALSE	FALSE										Repair interventions on spinal cord structures via skin flap, NOS
			Z-plasty	I	Repair interventions on spinal cord structures with Z-plasty, NOS								FALSE	FALSE										Repair interventions on spinal cord structures via Z-plasty, NOS
		Repair of diastematomyelia		I									FALSE	FALSE										
			skin flap	I	Repair of diastematomyelia with skin flap								FALSE	FALSE										Repair of diastematomyelia via skin flap
			Z-plasty	I	Repair of diastematomyelia with Z-plasty								FALSE	FALSE										Repair of diastematomyelia via Z-plasty
		Repair of spinal cord NOS		S									FALSE	FALSE										
			skin flap	I	Repair of spinal cord with skin flap, NOS								FALSE	FALSE										Repair of spinal cord via skin flap, NOS
			Z-plasty	I	Repair of spinal cord with Z-plasty, NOS								FALSE	FALSE										Repair of spinal cord via Z-plasty, NOS
		Repair of spinal meningocele		I									FALSE	FALSE										
			skin flap	I	Repair of spinal meningocele with skin flap								FALSE	FALSE										Repair of spinal meningocele via skin flap
			Z-plasty	I	Repair of spinal meningocele with Z-plasty								FALSE	FALSE										Repair of spinal meningocele via Z-plasty
		Repair of spinal myelomeningocele		I									FALSE	FALSE										
			skin flap	I	Repair of spinal myelomeningocele with skin flap								FALSE	FALSE										Repair of spinal myelomeningocele via skin flap
			Z-plasty	I	Repair of spinal myelomeningocele with Z-plasty								FALSE	FALSE										Repair of spinal myelomeningocele via Z-plasty
ABG.FC.AA	Release of spinal canal							Decompression laminectomy; Decompression laminotomy; Decompression of spinal canal; Expansile laminoplasty	bone graft; corpectomy; fat graft				FALSE	FALSE									Release of spinal canal	
			bone graft	I	Release of spinal canal with bone graft								FALSE	FALSE										Release of spinal canal with bone graft
			corpectomy	I	Release of spinal canal via corpectomy								FALSE	FALSE										Release of spinal canal via corpectomy
			fat graft	I	Release of spinal canal with fat graft								FALSE	FALSE										Release of spinal canal with fat graft
		Decompression laminectomy		I									FALSE	FALSE										
			bone graft	I	Decompression laminectomy with bone graft								FALSE	FALSE										Decompression laminectomy with bone graft
			corpectomy	I	Decompression laminectomy via corpectomy								FALSE	FALSE										Decompression laminectomy via corpectomy
			fat graft	I	Decompression laminectomy with fat graft								FALSE	FALSE										Decompression laminectomy with fat graft
		Decompression laminotomy		I									FALSE	FALSE										
			bone graft	I	Decompression laminotomy with bone graft								FALSE	FALSE										Decompression laminotomy with bone graft
			corpectomy	I	Decompression laminotomy via corpectomy								FALSE	FALSE										Decompression laminotomy via corpectomy
			fat graft	I	Decompression laminotomy with fat graft								FALSE	FALSE										Decompression laminotomy with fat graft
		Decompression of spinal canal		I									FALSE	FALSE										
			bone graft	I	Decompression of spinal canal with bone graft								FALSE	FALSE										Decompression of spinal canal with bone graft
			corpectomy	I	Decompression of spinal canal via corpectomy								FALSE	FALSE										Decompression of spinal canal via corpectomy
			fat graft	I	Decompression of spinal canal with fat graft								FALSE	FALSE										Decompression of spinal canal with fat graft
		Expansile laminoplasty		I									FALSE	FALSE										
			bone graft	I	Expansile laminoplasty with bone graft								FALSE	FALSE										Expansile laminoplasty with bone graft
			corpectomy	I	Expansile laminoplasty via corpectomy								FALSE	FALSE										Expansile laminoplasty via corpectomy
			fat graft	I	Expansile laminoplasty with fat graft								FALSE	FALSE										Expansile laminoplasty with fat graft
ABG.JB.AE	Drainage of spinal canal								that by:; insertion of drain; lumbar puncture; spinal tap				FALSE	FALSE									Drainage of spinal canal	
			that by insertion of drain	I	Drainage of spinal canal by insertion of drain								FALSE	FALSE										Drainage of spinal canal by insertion of drain
			that by lumbar puncture	I	Drainage of spinal canal by lumbar puncture								FALSE	FALSE										Drainage of spinal canal by lumbar puncture
			that by spinal tap	I	Drainage of spinal canal by spinal tap	Repeated words: [spinal]							FALSE	FALSE										Drainage of spinal canal by spinal tap
ACA.MK.AA	Repair of peripheral nerve							Peripheral neurorrhaphy; Suture of peripheral nerve	microsurgical repair				FALSE	FALSE									Repair of peripheral nerve	
			microsurgical repair	I	Repair of peripheral nerve with microsurgical repair	Repeated words: [Repair]							FALSE	FALSE										Repair of peripheral nerve - microsurgical repair
		Peripheral neurorrhaphy		I									FALSE	FALSE										
			microsurgical repair	I	Peripheral neurorrhaphy with microsurgical repair								FALSE	FALSE										Peripheral neurorrhaphy - microsurgical repair
		Suture of peripheral nerve		I									FALSE	FALSE										
			microsurgical repair	I	Suture of peripheral nerve with microsurgical repair								FALSE	FALSE										Suture of peripheral nerve - microsurgical repair
ADA.MK.AA	Repair of sympathetic nerve							Neurorrhaphy, sympathetic nerve; Repair of sympathetic ganglion; Reversal, sympathectomy by rejoining previously transected nerve	microsurgical repair				FALSE	FALSE									Repair of sympathetic nerve	
			microsurgical repair	I	Microsurgical repair of sympathetic nerve 	Repeated words: [Repair]							FALSE	FALSE										Repair of sympathetic nerve - microsurgical repair
		Neurorrhaphy of sympathetic nerve		I									FALSE	FALSE										
			microsurgical repair	I	Microsurgical neurorrhaphy of sympathetic nerve 								FALSE	FALSE										Neurorrhaphy, sympathetic nerve - microsurgical repair
		Repair of sympathetic ganglion		I									FALSE	FALSE										
			microsurgical repair	I	Repair of sympathetic ganglion with microsurgical repair	Repeated words: [Repair]							FALSE	FALSE										Repair of sympathetic ganglion - microsurgical repair
		Reversal sympathectomy by rejoining previously transected nerve		I									FALSE	FALSE										
			microsurgical repair	I	Reversal sympathectomy by rejoining previously transected nerve with microsurgical repair								FALSE	FALSE										Reversal, sympathectomy by rejoining previously transected nerve - microsurgical repair
AS1.PG.ZZ	Assisting and leading exercise for mental functions								Cognitive stimulation therapy; Cognitive process training				FALSE	FALSE									Assisting and leading exercise for mental functions	
			Cognitive stimulation therapy	I	Cognitive stimulation therapy to assist and lead exercise for mental functions								FALSE	FALSE										Assisting and leading exercise for mental functions - Cognitive stimulation therapy
			Cognitive process training	I	Cognitive process training to assist and lead exercise for mental functions								FALSE	FALSE										Assisting and leading exercise for mental functions - Cognitive process training
AT2.PG.ZZ	Assisting and leading exercise for global mental functions								Cognitive stimulation therapy; Cognitive process training				FALSE	FALSE									Assisting and leading exercise for global mental functions	
			Cognitive stimulation therapy	I	Cognitive stimulation therapy to assist and lead exercise for global mental functions 								FALSE	FALSE										Assisting and leading exercise for global mental functions - Cognitive stimulation therapy
			Cognitive process training	I	Cognitive process training to assist and lead exercise for global mental functions 								FALSE	FALSE										Assisting and leading exercise for global mental functions - Cognitive process training
ATH.AA.ZZ	Assessment of temperament and personality functions								clinical interview				FALSE	FALSE									Assessment of temperament and personality functions	
			clinical interview	D	Assessment of temperament and personality functions - clinical interview								FALSE	FALSE										Assessment of temperament and personality functions - clinical interview
ATI.AA.ZZ	Assessment of energy and drive functions							Assessing functions of:; appetite; craving; energy level; impulse control; motivation	craving for substances that can be abused				FALSE	FALSE									Assessment of energy and drive functions	
			craving for substances that can be abused	D	Assessment of energy and drive functions - craving for substances that can be abused								FALSE	FALSE										Assessment of energy and drive functions - craving for substances that can be abused
		Assessing functions of appetite		I									FALSE	FALSE										
			craving for substances that can be abused	D	Assessing functions of appetite - craving for substances that can be abused								FALSE	FALSE										Assessing functions of appetite - craving for substances that can be abused
		Assessing functions of craving		I									FALSE	FALSE										
			craving for substances that can be abused	D	Assessing functions of craving - craving for substances that can be abused	Repeated words: [craving]							FALSE	FALSE										Assessing functions of craving - craving for substances that can be abused
		Assessing functions of energy level		I									FALSE	FALSE										
			craving for substances that can be abused	D	Assessing functions of energy level - craving for substances that can be abused								FALSE	FALSE										Assessing functions of energy level - craving for substances that can be abused
		Assessing functions of impulse control		I									FALSE	FALSE										
			craving for substances that can be abused	D	Assessing functions of impulse control - craving for substances that can be abused								FALSE	FALSE										Assessing functions of impulse control - craving for substances that can be abused
		Assessing functions of motivation		I									FALSE	FALSE										
			craving for substances that can be abused	D	Assessing functions of motivation - craving for substances that can be abused								FALSE	FALSE										Assessing functions of motivation - craving for substances that can be abused
AU2.PG.ZZ	Assisting and leading exercise for specific mental functions								Cognitive stimulation therapy; Cognitive process training				FALSE	FALSE									Assisting and leading exercise for specific mental functions	
			Cognitive stimulation therapy	I	Cognitive stimulation therapy to assist and lead exercise for specific mental functions 								FALSE	FALSE										Assisting and leading exercise for specific mental functions - Cognitive stimulation therapy
			Cognitive process training	I	Cognitive process training to assist and lead exercise for specific mental functions 								FALSE	FALSE										Assisting and leading exercise for specific mental functions - Cognitive process training
AUC.PG.ZZ	Assisting and leading exercise for psychomotor function							Assisting and leading movements skills exercise for psychomotor functions; Assisting and leading multi-faceted skills exercise for psychomotor functions	using:; movement skills techniques; multi-faceted techniques				FALSE	FALSE									Assisting and leading exercise for psychomotor function	
			using movement skills techniques	I	Assisting and leading exercise for psychomotor function using movement skills techniques								FALSE	FALSE										Assisting and leading exercise for psychomotor function using movement skills techniques
			using multi-faceted techniques	I	Assisting and leading exercise for psychomotor function using multi-faceted techniques								FALSE	FALSE										Assisting and leading exercise for psychomotor function using multi-faceted techniques
		Assisting and leading movements skills exercise for psychomotor functions		D									TRUE	FALSE										
			using movement skills techniques	D	Assisting and leading movements skills exercise for psychomotor functions using movement skills techniques	Repeated words: [skills]							TRUE	FALSE										Assisting and leading movements skills exercise for psychomotor functions using movement skills techniques
			using multi-faceted techniques	D	Assisting and leading movements skills exercise for psychomotor functions using multi-faceted techniques								TRUE	FALSE										Assisting and leading movements skills exercise for psychomotor functions using multi-faceted techniques
		Assisting and leading multi-faceted skills exercise for psychomotor functions		D									TRUE	FALSE										
			using movement skills techniques	D	Assisting and leading multi-faceted skills exercise for psychomotor functions using movement skills techniques	Repeated words: [skills]							TRUE	FALSE										Assisting and leading multi-faceted skills exercise for psychomotor functions using movement skills techniques
			using multi-faceted techniques	D	Assisting and leading multi-faceted skills exercise for psychomotor functions using multi-faceted techniques	Repeated words: [multi, faceted]							TRUE	FALSE										Assisting and leading multi-faceted skills exercise for psychomotor functions using multi-faceted techniques
AUL.AA.ZZ	Assessment of experience of self and time functions								awareness of body image				FALSE	FALSE									Assessment of experience of self and time functions	
			awareness of body image	I	Assessment of awareness of body image								FALSE	FALSE										Assessment of experience of self and time functions - awareness of body image
BAA.DK.AH	Dressing of eyelid							Bandage of eyelid	external pressure dressing; medicated dressing				FALSE	FALSE									Dressing of eyelid	
			external pressure dressing	I	Dressing of eyelid with external pressure dressing	Repeated words: [Dressing]							FALSE	FALSE										Dressing of eyelid - external pressure dressing
			medicated dressing	I	Dressing of eyelid with medicated dressing	Repeated words: [Dressing]							FALSE	FALSE										Dressing of eyelid - medicated dressing
		Bandage of eyelid		I									FALSE	FALSE										
			external pressure dressing	D	Bandage of eyelid - external pressure dressing								FALSE	FALSE										Bandage of eyelid - external pressure dressing
			medicated dressing	D	Bandage of eyelid - medicated dressing								FALSE	FALSE										Bandage of eyelid - medicated dressing
BAA.GA.AH	Destruction of lesion of eyelid							Destruction of eyelid using device, NEC; Epilation of eyelash; Epilation of eyelid	that for ectropion; that for entropion; that for eyelash follicles; that for trichiasis				FALSE	FALSE									Destruction of lesion of eyelid	
			that for ectropion	I	Destruction of lesion of eyelid for ectropion								FALSE	FALSE										Destruction of lesion of eyelid for ectropion
			that for entropion	I	Destruction of lesion of eyelid for entropion								FALSE	FALSE										Destruction of lesion of eyelid for entropion
			that for eyelash follicles	I	Destruction of lesion of eyelid for eyelash follicles								FALSE	FALSE										Destruction of lesion of eyelid for eyelash follicles
			that for trichiasis	I	Destruction of lesion of eyelid for trichiasis								FALSE	FALSE										Destruction of lesion of eyelid for trichiasis
		Destruction of eyelid using device, NEC		D									TRUE	FALSE										
			that for ectropion	D	Destruction of eyelid using device, NEC for ectropion								TRUE	FALSE										Destruction of eyelid using device, NEC for ectropion
			that for entropion	D	Destruction of eyelid using device, NEC for entropion								TRUE	FALSE										Destruction of eyelid using device, NEC for entropion
			that for eyelash follicles	D	Destruction of eyelid using device, NEC for eyelash follicles								TRUE	FALSE										Destruction of eyelid using device, NEC for eyelash follicles
			that for trichiasis	D	Destruction of eyelid using device, NEC for trichiasis								TRUE	FALSE										Destruction of eyelid using device, NEC for trichiasis
		Epilation of eyelash		I									FALSE	FALSE										
			that for ectropion	D	Epilation of eyelash for ectropion								FALSE	FALSE										Epilation of eyelash for ectropion
			that for entropion	D	Epilation of eyelash for entropion								FALSE	FALSE										Epilation of eyelash for entropion
			that for eyelash follicles	I	Epilation of eyelash follicles	Repeated words: [eyelash]							FALSE	FALSE										Epilation of eyelash for eyelash follicles
			that for trichiasis	I	Epilation of eyelash for trichiasis								FALSE	FALSE										Epilation of eyelash for trichiasis
		Epilation of eyelid		I									FALSE	FALSE										
			that for ectropion	D	Epilation of eyelid for ectropion								FALSE	FALSE										Epilation of eyelid for ectropion
			that for entropion	D	Epilation of eyelid for entropion								FALSE	FALSE										Epilation of eyelid for entropion
			that for eyelash follicles	D	Epilation of eyelid for eyelash follicles								FALSE	FALSE										Epilation of eyelid for eyelash follicles
			that for trichiasis	I	Epilation of eyelid for trichiasis								FALSE	FALSE										Epilation of eyelid for trichiasis
BAA.ML.AA	Reconstruction of eyelid							Correction of eyelid with implant; Goretex graft to eyelid, with recession of lid retractors; Other reconstruction of eyelid, full-thickness; Other reconstruction of eyelid, partial-thickness; Reconstruction of eyelid involving lid margin, full-thickness; Reconstruction of eyelid involving lid margin, partial-thickness; Reconstruction of eyelid with flap or graft; Scleral graft to eyelid, with recession of lid retractors; Secondary reconstruction of eyelid; Transfer of tarsoconjunctival flap from opposing lid	hair follicle graft; mucous membrane flap or graft; skin flap or graft; tarsoconjunctival flap; visor flap				FALSE	FALSE									Reconstruction of eyelid	
			hair follicle graft	I	Reconstruction of eyelid with hair follicle graft								FALSE	FALSE										Reconstruction of eyelid with hair follicle graft
			mucous membrane flap or graft	I	Reconstruction of eyelid with mucous membrane flap or graft								FALSE	FALSE										Reconstruction of eyelid via mucous membrane flap or graft
			skin flap or graft	I	Reconstruction of eyelid with skin flap or graft								FALSE	FALSE										Reconstruction of eyelid via skin flap or graft
			tarsoconjunctival flap	I	Reconstruction of eyelid with tarsoconjunctival flap								FALSE	FALSE										Reconstruction of eyelid via tarsoconjunctival flap
			visor flap	I	Reconstruction of eyelid with visor flap								FALSE	FALSE										Reconstruction of eyelid via visor flap
		Correction of eyelid with implant		I									FALSE	FALSE										
			hair follicle graft	I	Correction of eyelid with implant with hair follicle graft								FALSE	FALSE										Correction of eyelid with implant via hair follicle graft
			mucous membrane flap or graft	I	Correction of eyelid with implant with mucous membrane flap or graft								FALSE	FALSE										Correction of eyelid with implant via mucous membrane flap or graft
			skin flap or graft	I	Correction of eyelid with implant with skin flap or graft								FALSE	FALSE										Correction of eyelid with implant via skin flap or graft
			tarsoconjunctival flap	I	Correction of eyelid with implant with tarsoconjunctival flap								FALSE	FALSE										Correction of eyelid with implant via tarsoconjunctival flap
			visor flap	I	Correction of eyelid with implant with visor flap								FALSE	FALSE										Correction of eyelid with implant via visor flap
		Goretex graft to eyelid, with recession of lid retractors		I									FALSE	FALSE										
			hair follicle graft	D	Goretex graft to eyelid, with recession of lid retractors via hair follicle graft	Repeated words: [graft]							FALSE	FALSE										Goretex graft to eyelid, with recession of lid retractors via hair follicle graft
			mucous membrane flap or graft	D	Goretex graft to eyelid, with recession of lid retractors via mucous membrane flap or graft	Repeated words: [graft]							FALSE	FALSE										Goretex graft to eyelid, with recession of lid retractors via mucous membrane flap or graft
			skin flap or graft	D	Goretex graft to eyelid, with recession of lid retractors via skin flap or graft	Repeated words: [graft]							FALSE	FALSE										Goretex graft to eyelid, with recession of lid retractors via skin flap or graft
			tarsoconjunctival flap	D	Goretex graft to eyelid, with recession of lid retractors via tarsoconjunctival flap								FALSE	FALSE										Goretex graft to eyelid, with recession of lid retractors via tarsoconjunctival flap
			visor flap	D	Goretex graft to eyelid, with recession of lid retractors via visor flap								FALSE	FALSE										Goretex graft to eyelid, with recession of lid retractors via visor flap
		Other reconstruction of eyelid, full-thickness		I									FALSE	FALSE										
			hair follicle graft	I	Other reconstruction of eyelid, full-thickness with hair follicle graft								FALSE	FALSE										Other reconstruction of eyelid, full-thickness with hair follicle graft
			mucous membrane flap or graft	I	Other reconstruction of eyelid, full-thickness with mucous membrane flap or graft								FALSE	FALSE										Other reconstruction of eyelid, full-thickness via mucous membrane flap or graft
			skin flap or graft	I	Other reconstruction of eyelid, full-thickness with skin flap or graft								FALSE	FALSE										Other reconstruction of eyelid, full-thickness via skin flap or graft
			tarsoconjunctival flap	I	Other reconstruction of eyelid, full-thickness with tarsoconjunctival flap								FALSE	FALSE										Other reconstruction of eyelid, full-thickness via tarsoconjunctival flap
			visor flap	I	Other reconstruction of eyelid, full-thickness with visor flap								FALSE	FALSE										Other reconstruction of eyelid, full-thickness via visor flap
		Other reconstruction of eyelid, partial-thickness		I									FALSE	FALSE										
			hair follicle graft	I	Other reconstruction of eyelid, partial-thickness with hair follicle graft								FALSE	FALSE										Other reconstruction of eyelid, partial-thickness with hair follicle graft
			mucous membrane flap or graft	I	Other reconstruction of eyelid, partial-thickness with mucous membrane flap or graft								FALSE	FALSE										Other reconstruction of eyelid, partial-thickness via mucous membrane flap or graft
			skin flap or graft	I	Other reconstruction of eyelid, partial-thickness with skin flap or graft								FALSE	FALSE										Other reconstruction of eyelid, partial-thickness via skin flap or graft
			tarsoconjunctival flap	I	Other reconstruction of eyelid, partial-thickness with tarsoconjunctival flap								FALSE	FALSE										Other reconstruction of eyelid, partial-thickness via tarsoconjunctival flap
			visor flap	I	Other reconstruction of eyelid, partial-thickness with visor flap								FALSE	FALSE										Other reconstruction of eyelid, partial-thickness via visor flap
		Reconstruction of eyelid involving lid margin, full-thickness		I									FALSE	FALSE										
			hair follicle graft	I	Reconstruction of eyelid involving lid margin, full-thickness with hair follicle graft								FALSE	FALSE										Reconstruction of eyelid involving lid margin, full-thickness with hair follicle graft
			mucous membrane flap or graft	I	Reconstruction of eyelid involving lid margin, full-thickness with mucous membrane flap or graft								FALSE	FALSE										Reconstruction of eyelid involving lid margin, full-thickness via mucous membrane flap or graft
			skin flap or graft	I	Reconstruction of eyelid involving lid margin, full-thickness with skin flap or graft								FALSE	FALSE										Reconstruction of eyelid involving lid margin, full-thickness via skin flap or graft
			tarsoconjunctival flap	I	Reconstruction of eyelid involving lid margin, full-thickness with tarsoconjunctival flap								FALSE	FALSE										Reconstruction of eyelid involving lid margin, full-thickness via tarsoconjunctival flap
			visor flap	I	Reconstruction of eyelid involving lid margin, full-thickness with visor flap								FALSE	FALSE										Reconstruction of eyelid involving lid margin, full-thickness via visor flap
		Reconstruction of eyelid involving lid margin, partial-thickness		I									FALSE	FALSE										
			hair follicle graft	I	Reconstruction of eyelid involving lid margin, partial-thickness with hair follicle graft								FALSE	FALSE										Reconstruction of eyelid involving lid margin, partial-thickness with hair follicle graft
			mucous membrane flap or graft	I	Reconstruction of eyelid involving lid margin, partial-thickness with mucous membrane flap or graft								FALSE	FALSE										Reconstruction of eyelid involving lid margin, partial-thickness via mucous membrane flap or graft
			skin flap or graft	I	Reconstruction of eyelid involving lid margin, partial-thickness with skin flap or graft								FALSE	FALSE										Reconstruction of eyelid involving lid margin, partial-thickness via skin flap or graft
			tarsoconjunctival flap	I	Reconstruction of eyelid involving lid margin, partial-thickness with tarsoconjunctival flap								FALSE	FALSE										Reconstruction of eyelid involving lid margin, partial-thickness via tarsoconjunctival flap
